age,monthly_usage_hours,purchase_amount,customer_service_calls,region,churn
41,32.2,213.54,6,North,1
62,15.9,399.97,2,West,0
56,81.3,86.18,2,North,0
64,17.1,165.78,2,South,1
40,46.2,80.93,2,West,1
38,63.3,123.91,2,West,0
56,48.8,457.16,4,West,0
26,39.2,165.75,4,South,1
30,33.7,60.07,3,West,1
50,12.9,113.77,2,South,0
54,79.2,75.72,2,East,0
24,37.3,217.73,3,East,1
45,32.2,248.91,4,North,1
37,15.0,305.74,3,South,0
45,33.2,275.93,4,South,1
69,31.0,88.67,2,South,1
22,81.7,242.64,1,South,0
71,32.2,187.18,0,East,0
42,32.9,327.47,3,North,0
59,15.1,291.43,3,North,1
40,19.5,486.62,3,West,0
34,43.1,118.98,3,South,1
59,8.2,109.48,4,East,1
55,55.7,154.67,1,East,0
25,56.6,191.07,7,East,1
56,18.1,138.67,3,South,1
58,39.2,122.5,5,South,1
38,64.4,234.65,4,West,0
67,29.5,154.42,3,West,1
52,26.1,135.47,2,South,1
36,28.2,88.57,3,East,1
18,37.2,45.41,1,West,0
54,21.2,375.87,2,North,0
29,24.8,370.41,0,West,0
58,37.7,295.82,1,South,0
46,23.5,262.03,2,West,0
43,14.2,146.83,2,East,0
26,7.6,267.37,2,West,1
56,32.6,105.03,3,North,1
26,62.2,210.92,3,North,0
40,40.4,129.19,3,West,1
63,14.6,267.92,1,East,0
67,19.4,413.23,0,East,0
71,26.0,113.53,2,North,1
69,83.2,150.76,5,North,0
48,85.7,208.91,1,West,0
28,80.1,64.91,2,South,0
63,34.6,77.98,2,East,1
61,120.0,407.3,3,South,0
71,20.0,235.17,1,South,0
53,25.4,142.45,2,North,1
25,53.3,197.64,5,West,1
45,37.8,155.02,4,West,1
42,39.1,212.1,2,North,0
63,16.4,158.14,4,South,1
39,30.9,189.75,3,East,1
35,20.2,279.74,3,South,1
22,12.2,270.86,2,East,1
63,21.9,396.06,4,South,0
58,37.8,243.56,3,North,1
20,48.4,204.14,2,South,0
41,7.4,424.93,3,East,1
43,31.8,179.56,6,North,1
43,30.0,48.56,2,West,1
67,36.6,297.63,2,North,0
26,14.8,229.21,1,North,0
34,15.0,199.23,3,East,1
27,63.1,301.52,0,East,0
31,18.3,158.87,3,South,1
66,24.6,50.27,0,South,0
68,26.3,304.46,2,North,1
20,20.5,139.72,4,East,1
52,42.3,116.13,2,South,1
30,40.3,52.16,1,North,1
28,29.2,291.93,1,South,0
33,21.3,36.99,4,West,1
28,27.8,361.37,2,South,0
44,33.4,167.24,2,West,0
71,19.4,298.82,2,South,1
49,44.2,247.27,3,North,0
57,55.5,463.45,2,South,0
44,69.2,243.92,0,South,0
18,66.8,354.81,3,North,0
22,26.2,148.19,4,East,1
32,34.4,77.79,3,South,1
31,28.9,321.68,4,East,1
63,28.8,76.35,1,South,0
63,27.7,290.34,1,South,0
64,32.1,108.33,3,South,0
52,60.7,231.47,3,North,0
48,38.5,467.73,3,East,0
53,14.3,279.19,2,North,1
39,54.2,179.98,1,East,0
54,36.3,250.16,2,West,1
60,42.6,151.13,6,West,1
59,38.0,555.86,2,South,0
